City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,ornskoldsvik,63.2909,18.7153,2.53,93,20,4.63,SE,1712871719
240,hermanus,-34.4187,19.2345,13.22,72,19,7.87,ZA,1712871719
241,whitehorse,60.7161,-135.0538,6.72,38,40,3.09,CA,1712871664
242,khovd,48.0056,91.6419,4.9,48,97,1.22,MN,1712871719
243,lebu,-37.6167,-73.65,13.17,77,1,2.73,CL,1712871719
244,jassans-riottier,45.9835,4.76,12.41,69,35,1.73,FR,1712871719
245,kemin,42.7846,75.6892,10.55,70,100,1.18,KG,1712871719
246,skeldon,5.8833,-57.1333,27.41,73,72,3.16,GY,1712871719
247,the pas,53.8251,-101.2541,5.01,75,100,4.12,CA,1712871719
248,talara,-4.5772,-81.2719,29.42,58,0,4.63,PE,1712871719
249,flin flon,54.7682,-101.865,4.91,70,100,5.14,CA,1712871719
250,constantia,44.1833,28.65,15.39,59,16,2.87,RO,1712871448
251,jeremoabo,-10.075,-38.4808,23.58,93,82,2.27,BR,1712871720
252,cannonvale,-20.2833,148.7,23.66,77,4,5.85,AU,1712871720
253,nabire,-3.3667,135.4833,23.88,97,100,1.05,ID,1712871720
254,al quwayrah,29.8004,35.3116,18.0,70,0,0.98,JO,1712871720
255,richards bay,-28.783,32.0377,18.14,68,86,5.69,ZA,1712871720
256,weligama,5.9667,80.4167,25.22,89,100,3.52,LK,1712871720
257,turochak,52.2576,87.1224,0.98,99,100,1.76,RU,1712871720
258,lakatoro,-16.0999,167.4164,28.87,75,66,1.82,VU,1712871720
259,hazard,37.2495,-83.1932,18.83,80,71,4.98,US,1712871622
260,zbarazh,49.6636,25.7762,13.85,62,100,3.37,UA,1712871720
261,el bolson,-41.9667,-71.5167,9.01,74,68,1.48,AR,1712871586
262,puerto santa,-8.9906,-78.6456,22.76,80,35,4.91,PE,1712871721
263,inari,68.906,27.0288,2.11,85,25,4.58,FI,1712871721
264,korla,41.7597,86.1469,15.13,30,50,1.8,CN,1712871721
265,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712871721
266,saldanha,-33.0117,17.9442,18.03,58,7,5.96,ZA,1712871721
267,villa gesell,-37.2639,-56.973,13.36,58,99,4.17,AR,1712871721
268,caconda,-13.7333,15.0667,17.3,94,100,1.76,AO,1712871721
269,greenville,35.6127,-77.3663,23.09,83,100,8.23,US,1712871697
270,saint croix,17.7397,-64.7388,25.25,94,100,8.23,VI,1712871721
271,poronaysk,49.2167,143.1167,5.22,77,50,2.92,RU,1712871722
272,ostersund,63.1792,14.6357,3.67,100,75,1.54,SE,1712871722
273,el-tor,28.2364,33.6254,22.08,43,0,1.03,EG,1712871722
274,xifeng,42.7372,124.7222,11.4,65,69,5.68,CN,1712871722
275,lhokseumawe,5.1801,97.1507,25.02,88,19,2.19,ID,1712871722
276,arraial do cabo,-22.9661,-42.0278,25.98,83,40,2.57,BR,1712871633
277,remire-montjoly,4.9167,-52.2667,29.02,79,40,4.12,GF,1712871513
278,salekhard,66.53,66.6019,-9.78,86,100,6.26,RU,1712871723
279,popovo,43.35,26.2333,11.29,64,17,1.83,BG,1712871723
280,nemuro,43.3236,145.575,4.53,96,100,6.5,JP,1712871704
281,vilyuysk,63.7553,121.6247,-18.89,96,82,2.68,RU,1712871507
282,yokadouma,3.5167,15.05,21.6,97,96,1.12,CM,1712871723
283,anadyr,64.75,177.4833,-14.72,77,0,4.92,RU,1712871723
284,poxoreo,-15.8372,-54.3892,24.95,86,100,0.73,BR,1712871723
285,tuy hoa,13.0833,109.3,23.7,96,100,1.37,VN,1712871723
286,angaur state,6.906,134.13,28.41,71,61,5.72,PW,1712871724
287,salalah,17.0151,54.0924,28.05,74,40,2.06,OM,1712871724
288,talnakh,69.4865,88.3972,-26.0,97,96,3.45,RU,1712871724
289,genhe,50.7833,121.5167,1.37,99,100,0.65,CN,1712871724
290,rio gallegos,-51.6226,-69.2181,13.03,35,0,9.77,AR,1712871623
291,brookings,44.3114,-96.7984,12.25,54,40,11.83,US,1712871724
292,haiku-pauwela,20.9219,-156.3051,26.81,67,20,6.26,US,1712871724
293,okhotsk,59.3833,143.3,-3.87,93,89,2.16,RU,1712871724
294,bontang,0.1333,117.5,26.4,86,88,4.34,ID,1712871724
295,alo,7.4178,6.7371,29.72,68,97,4.89,NG,1712871725
296,washington,47.5001,-120.5015,15.82,39,100,1.53,US,1712871644
297,walvis bay,-22.9575,14.5053,17.09,80,5,1.47,NA,1712871725
298,hadibu,12.65,54.0333,27.24,78,96,2.16,YE,1712871581
299,arak,34.0917,49.6892,8.46,71,100,2.26,IR,1712871725
300,griffith,41.5284,-87.4237,15.08,75,100,6.17,US,1712871725
301,lerwick,60.1545,-1.1494,9.0,84,100,7.27,GB,1712871725
302,bondo,3.8146,23.6866,25.16,54,31,0.63,CD,1712871726
303,aldan,58.6031,125.3894,-2.08,98,99,2.31,RU,1712871726
304,gazli,40.1333,63.45,20.19,32,99,6.74,UZ,1712871726
305,tamanrasset,22.785,5.5228,25.95,8,0,5.14,DZ,1712871726
306,santa rosalia,27.3167,-112.2833,23.65,23,100,2.77,MX,1712871726
307,taltal,-25.4,-70.4833,19.09,77,72,2.36,CL,1712871726
308,shizukuishi,39.6833,140.9833,9.11,93,100,0.34,JP,1712871726
309,porto novo,6.4965,2.6036,27.16,79,73,4.68,BJ,1712871664
310,aral,40.5156,81.2636,16.65,94,6,3.58,CN,1712871726
311,bodden town,19.2833,-81.25,30.0,74,20,6.17,KY,1712871727
312,xining,36.6167,101.7667,7.96,33,100,0.67,CN,1712871727
313,kununurra,-15.7667,128.7333,16.99,88,39,1.54,AU,1712871727
314,horta,38.5333,-28.6333,15.57,93,93,1.34,PT,1712871644
315,bogande,12.9714,-0.1436,36.94,21,100,2.76,BF,1712871727
316,eisenach,50.9833,10.3167,11.73,68,90,1.71,DE,1712871727
317,hilongos,10.3744,124.7497,25.2,87,100,1.88,PH,1712871727
318,isangel,-19.55,169.2667,27.06,94,75,0.0,VU,1712871727
319,nenjiang,49.1833,125.2167,11.13,66,100,6.59,CN,1712871727
320,mil'kovo,55.6078,37.7956,10.75,62,31,3.8,RU,1712871727
321,port hedland,-20.3167,118.5667,22.03,88,0,2.57,AU,1712871727
322,mareeba,-17.0,145.4333,20.24,86,44,1.05,AU,1712871727
323,jamsa,61.8642,25.19,4.52,96,100,2.61,FI,1712871728
324,prince rupert,54.3161,-130.3201,5.83,79,100,3.09,CA,1712871431
325,jamestown,42.097,-79.2353,17.77,96,100,5.14,US,1712871644
326,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,71,0,11.62,RU,1712871728
327,reidsville,36.3549,-79.6645,21.47,87,91,6.84,US,1712871485
328,anjozorobe,-18.4,47.8667,18.87,82,100,1.47,MG,1712871728
329,ghatampur,26.1667,80.1667,27.55,21,0,3.53,IN,1712871728
330,mili,6.0815,171.735,27.79,82,100,8.16,MH,1712871728
331,tupa,-21.9347,-50.5136,26.64,59,100,3.22,BR,1712871728
332,palmer,42.1584,-72.3287,14.92,81,100,3.09,US,1712871489
333,aksu,41.1231,80.2644,15.08,21,61,2.8,CN,1712871728
334,alofi,-19.0595,-169.9187,29.94,70,75,2.57,NU,1712871728
335,smithers,54.7804,-127.1743,5.18,93,100,5.14,CA,1712871615
